datasetId;startTime;endTime;value
191;2026-04-24T09:18:00.000Z;2026-04-24T09:21:00.000Z;1202.56
191;2026-04-24T09:15:00.000Z;2026-04-24T09:18:00.000Z;1205.22
191;2026-04-24T09:12:00.000Z;2026-04-24T09:15:00.000Z;1201.99
191;2026-04-24T09:09:00.000Z;2026-04-24T09:12:00.000Z;1194.44
191;2026-04-24T09:06:00.000Z;2026-04-24T09:09:00.000Z;1185.39
191;2026-04-24T09:03:00.000Z;2026-04-24T09:06:00.000Z;1211.13
191;2026-04-24T09:00:00.000Z;2026-04-24T09:03:00.000Z;1244.35
191;2026-04-24T08:57:00.000Z;2026-04-24T09:00:00.000Z;1259.95
191;2026-04-24T08:54:00.000Z;2026-04-24T08:57:00.000Z;1263
191;2026-04-24T08:51:00.000Z;2026-04-24T08:54:00.000Z;1261.56
191;2026-04-24T08:48:00.000Z;2026-04-24T08:51:00.000Z;1268
191;2026-04-24T08:45:00.000Z;2026-04-24T08:48:00.000Z;1252.44
191;2026-04-24T08:42:00.000Z;2026-04-24T08:45:00.000Z;1248.56
191;2026-04-24T08:39:00.000Z;2026-04-24T08:42:00.000Z;1253.34
191;2026-04-24T08:36:00.000Z;2026-04-24T08:39:00.000Z;1254.16
191;2026-04-24T08:33:00.000Z;2026-04-24T08:36:00.000Z;1246.83
191;2026-04-24T08:30:00.000Z;2026-04-24T08:33:00.000Z;1244.5
191;2026-04-24T08:27:00.000Z;2026-04-24T08:30:00.000Z;1232.39
191;2026-04-24T08:24:00.000Z;2026-04-24T08:27:00.000Z;1230.33
191;2026-04-24T08:21:00.000Z;2026-04-24T08:24:00.000Z;1230.89
191;2026-04-24T08:18:00.000Z;2026-04-24T08:21:00.000Z;1235.33
191;2026-04-24T08:15:00.000Z;2026-04-24T08:18:00.000Z;1227.89
191;2026-04-24T08:12:00.000Z;2026-04-24T08:15:00.000Z;1235.72
191;2026-04-24T08:09:00.000Z;2026-04-24T08:12:00.000Z;1241.28
191;2026-04-24T08:06:00.000Z;2026-04-24T08:09:00.000Z;1248.29
191;2026-04-24T08:03:00.000Z;2026-04-24T08:06:00.000Z;1284.04
191;2026-04-24T08:00:00.000Z;2026-04-24T08:03:00.000Z;1335.45
191;2026-04-24T07:57:00.000Z;2026-04-24T08:00:00.000Z;1342.17
191;2026-04-24T07:54:00.000Z;2026-04-24T07:57:00.000Z;1350.67
191;2026-04-24T07:51:00.000Z;2026-04-24T07:54:00.000Z;1353.34
191;2026-04-24T07:48:00.000Z;2026-04-24T07:51:00.000Z;1352.77
191;2026-04-24T07:45:00.000Z;2026-04-24T07:48:00.000Z;1360.91
191;2026-04-24T07:42:00.000Z;2026-04-24T07:45:00.000Z;1406.23
191;2026-04-24T07:39:00.000Z;2026-04-24T07:42:00.000Z;1419.06
191;2026-04-24T07:36:00.000Z;2026-04-24T07:39:00.000Z;1423.78
191;2026-04-24T07:33:00.000Z;2026-04-24T07:36:00.000Z;1460.08
191;2026-04-24T07:30:00.000Z;2026-04-24T07:33:00.000Z;1495.45
191;2026-04-24T07:27:00.000Z;2026-04-24T07:30:00.000Z;1504.39
191;2026-04-24T07:24:00.000Z;2026-04-24T07:27:00.000Z;1499.94
191;2026-04-24T07:21:00.000Z;2026-04-24T07:24:00.000Z;1501.78
191;2026-04-24T07:18:00.000Z;2026-04-24T07:21:00.000Z;1508.28
191;2026-04-24T07:15:00.000Z;2026-04-24T07:18:00.000Z;1496.49
191;2026-04-24T07:12:00.000Z;2026-04-24T07:15:00.000Z;1494.3
