datasetId;startTime;endTime;value
75;2026-04-24T08:45:00.000Z;2026-04-24T09:00:00.000Z;2672.41
75;2026-04-24T08:30:00.000Z;2026-04-24T08:45:00.000Z;2759.43
75;2026-04-24T08:15:00.000Z;2026-04-24T08:30:00.000Z;2735.18
75;2026-04-24T08:00:00.000Z;2026-04-24T08:15:00.000Z;2753.03
75;2026-04-24T07:45:00.000Z;2026-04-24T08:00:00.000Z;2628.46
75;2026-04-24T07:30:00.000Z;2026-04-24T07:45:00.000Z;2651.44
75;2026-04-24T07:15:00.000Z;2026-04-24T07:30:00.000Z;2634.79
75;2026-04-24T07:00:00.000Z;2026-04-24T07:15:00.000Z;2562.88
75;2026-04-24T06:45:00.000Z;2026-04-24T07:00:00.000Z;2537.44
75;2026-04-24T06:30:00.000Z;2026-04-24T06:45:00.000Z;2655.38
75;2026-04-24T06:15:00.000Z;2026-04-24T06:30:00.000Z;2762.39
75;2026-04-24T06:00:00.000Z;2026-04-24T06:15:00.000Z;2946.69
75;2026-04-24T05:45:00.000Z;2026-04-24T06:00:00.000Z;3169.31
75;2026-04-24T05:30:00.000Z;2026-04-24T05:45:00.000Z;3235.18
75;2026-04-24T05:15:00.000Z;2026-04-24T05:30:00.000Z;3357.74
75;2026-04-24T05:00:00.000Z;2026-04-24T05:15:00.000Z;3573.17
75;2026-04-24T04:45:00.000Z;2026-04-24T05:00:00.000Z;3764.1
75;2026-04-24T04:30:00.000Z;2026-04-24T04:45:00.000Z;3843.62
75;2026-04-24T04:15:00.000Z;2026-04-24T04:30:00.000Z;3931.1
75;2026-04-24T04:00:00.000Z;2026-04-24T04:15:00.000Z;4152.56
75;2026-04-24T03:45:00.000Z;2026-04-24T04:00:00.000Z;4586.42
75;2026-04-24T03:30:00.000Z;2026-04-24T03:45:00.000Z;4795.52
75;2026-04-24T03:15:00.000Z;2026-04-24T03:30:00.000Z;4948.72
75;2026-04-24T03:00:00.000Z;2026-04-24T03:15:00.000Z;5061.14
75;2026-04-24T02:45:00.000Z;2026-04-24T03:00:00.000Z;4878.03
75;2026-04-24T02:30:00.000Z;2026-04-24T02:45:00.000Z;5201.92
75;2026-04-24T02:15:00.000Z;2026-04-24T02:30:00.000Z;5056.65
75;2026-04-24T02:00:00.000Z;2026-04-24T02:15:00.000Z;5025.02
75;2026-04-24T01:45:00.000Z;2026-04-24T02:00:00.000Z;5123.25
75;2026-04-24T01:30:00.000Z;2026-04-24T01:45:00.000Z;5147.7
75;2026-04-24T01:15:00.000Z;2026-04-24T01:30:00.000Z;5091.37
75;2026-04-24T01:00:00.000Z;2026-04-24T01:15:00.000Z;5087.22
75;2026-04-24T00:45:00.000Z;2026-04-24T01:00:00.000Z;4839.71
75;2026-04-24T00:30:00.000Z;2026-04-24T00:45:00.000Z;4910.95
75;2026-04-24T00:15:00.000Z;2026-04-24T00:30:00.000Z;4977.57
75;2026-04-24T00:00:00.000Z;2026-04-24T00:15:00.000Z;4903.53
75;2026-04-23T23:45:00.000Z;2026-04-24T00:00:00.000Z;4950.01
75;2026-04-23T23:30:00.000Z;2026-04-23T23:45:00.000Z;4916.34
75;2026-04-23T23:15:00.000Z;2026-04-23T23:30:00.000Z;4819.92
75;2026-04-23T23:00:00.000Z;2026-04-23T23:15:00.000Z;4935.39
75;2026-04-23T22:45:00.000Z;2026-04-23T23:00:00.000Z;4819.18
75;2026-04-23T22:30:00.000Z;2026-04-23T22:45:00.000Z;4845.48
75;2026-04-23T22:15:00.000Z;2026-04-23T22:30:00.000Z;4843.53
75;2026-04-23T22:00:00.000Z;2026-04-23T22:15:00.000Z;4639.59
75;2026-04-23T21:45:00.000Z;2026-04-23T22:00:00.000Z;4174.44
75;2026-04-23T21:30:00.000Z;2026-04-23T21:45:00.000Z;4294.74
75;2026-04-23T21:15:00.000Z;2026-04-23T21:30:00.000Z;4393.18
75;2026-04-23T21:00:00.000Z;2026-04-23T21:15:00.000Z;4035.17
75;2026-04-23T20:45:00.000Z;2026-04-23T21:00:00.000Z;3888.96
75;2026-04-23T20:30:00.000Z;2026-04-23T20:45:00.000Z;3624.34
75;2026-04-23T20:15:00.000Z;2026-04-23T20:30:00.000Z;3792.57
75;2026-04-23T20:00:00.000Z;2026-04-23T20:15:00.000Z;3677.74
75;2026-04-23T19:45:00.000Z;2026-04-23T20:00:00.000Z;3531.94
75;2026-04-23T19:30:00.000Z;2026-04-23T19:45:00.000Z;3349.54
75;2026-04-23T19:15:00.000Z;2026-04-23T19:30:00.000Z;3181.15
75;2026-04-23T19:00:00.000Z;2026-04-23T19:15:00.000Z;2966.18
75;2026-04-23T18:45:00.000Z;2026-04-23T19:00:00.000Z;2880.8
75;2026-04-23T18:30:00.000Z;2026-04-23T18:45:00.000Z;2748.37
75;2026-04-23T18:15:00.000Z;2026-04-23T18:30:00.000Z;2450.07
75;2026-04-23T18:00:00.000Z;2026-04-23T18:15:00.000Z;2216.45
75;2026-04-23T17:45:00.000Z;2026-04-23T18:00:00.000Z;2048.47
75;2026-04-23T17:30:00.000Z;2026-04-23T17:45:00.000Z;1766.05
75;2026-04-23T17:15:00.000Z;2026-04-23T17:30:00.000Z;1513.26
75;2026-04-23T17:00:00.000Z;2026-04-23T17:15:00.000Z;1299.88
75;2026-04-23T16:45:00.000Z;2026-04-23T17:00:00.000Z;1269.02
75;2026-04-23T16:30:00.000Z;2026-04-23T16:45:00.000Z;1276.78
75;2026-04-23T16:15:00.000Z;2026-04-23T16:30:00.000Z;1277.76
75;2026-04-23T16:00:00.000Z;2026-04-23T16:15:00.000Z;1198.72
75;2026-04-23T15:45:00.000Z;2026-04-23T16:00:00.000Z;1183.66
75;2026-04-23T15:30:00.000Z;2026-04-23T15:45:00.000Z;1096.27
75;2026-04-23T15:15:00.000Z;2026-04-23T15:30:00.000Z;1017.62
75;2026-04-23T15:00:00.000Z;2026-04-23T15:15:00.000Z;1050.42
75;2026-04-23T14:45:00.000Z;2026-04-23T15:00:00.000Z;1204.18
75;2026-04-23T14:30:00.000Z;2026-04-23T14:45:00.000Z;1268.61
75;2026-04-23T14:15:00.000Z;2026-04-23T14:30:00.000Z;1310.12
75;2026-04-23T14:00:00.000Z;2026-04-23T14:15:00.000Z;1369.38
75;2026-04-23T13:45:00.000Z;2026-04-23T14:00:00.000Z;1357.84
75;2026-04-23T13:30:00.000Z;2026-04-23T13:45:00.000Z;1536.31
75;2026-04-23T13:15:00.000Z;2026-04-23T13:30:00.000Z;1531.38
75;2026-04-23T13:00:00.000Z;2026-04-23T13:15:00.000Z;1530.21
75;2026-04-23T12:45:00.000Z;2026-04-23T13:00:00.000Z;1563.19
75;2026-04-23T12:30:00.000Z;2026-04-23T12:45:00.000Z;1867.67
75;2026-04-23T12:15:00.000Z;2026-04-23T12:30:00.000Z;1918.85
75;2026-04-23T12:00:00.000Z;2026-04-23T12:15:00.000Z;1880.14
75;2026-04-23T11:45:00.000Z;2026-04-23T12:00:00.000Z;1695.34
75;2026-04-23T11:30:00.000Z;2026-04-23T11:45:00.000Z;1688.91
75;2026-04-23T11:15:00.000Z;2026-04-23T11:30:00.000Z;1689.72
75;2026-04-23T11:00:00.000Z;2026-04-23T11:15:00.000Z;1604.65
75;2026-04-23T10:45:00.000Z;2026-04-23T11:00:00.000Z;1544.89
75;2026-04-23T10:30:00.000Z;2026-04-23T10:45:00.000Z;1646.61
75;2026-04-23T10:15:00.000Z;2026-04-23T10:30:00.000Z;1601.03
75;2026-04-23T10:00:00.000Z;2026-04-23T10:15:00.000Z;1640.4
75;2026-04-23T09:45:00.000Z;2026-04-23T10:00:00.000Z;1581.68
75;2026-04-23T09:30:00.000Z;2026-04-23T09:45:00.000Z;1643.17
75;2026-04-23T09:15:00.000Z;2026-04-23T09:30:00.000Z;1617.11
75;2026-04-23T09:00:00.000Z;2026-04-23T09:15:00.000Z;1553.35
75;2026-04-23T08:45:00.000Z;2026-04-23T09:00:00.000Z;1435.94
75;2026-04-23T08:30:00.000Z;2026-04-23T08:45:00.000Z;1471.16
75;2026-04-23T08:15:00.000Z;2026-04-23T08:30:00.000Z;1590.76
75;2026-04-23T08:00:00.000Z;2026-04-23T08:15:00.000Z;1556.29
75;2026-04-23T07:45:00.000Z;2026-04-23T08:00:00.000Z;1562.86
75;2026-04-23T07:30:00.000Z;2026-04-23T07:45:00.000Z;1727.3
75;2026-04-23T07:15:00.000Z;2026-04-23T07:30:00.000Z;1774.51
75;2026-04-23T07:00:00.000Z;2026-04-23T07:15:00.000Z;1810.46
75;2026-04-23T06:45:00.000Z;2026-04-23T07:00:00.000Z;1921.21
75;2026-04-23T06:30:00.000Z;2026-04-23T06:45:00.000Z;1998.82
75;2026-04-23T06:15:00.000Z;2026-04-23T06:30:00.000Z;2030.82
75;2026-04-23T06:00:00.000Z;2026-04-23T06:15:00.000Z;2040.49
75;2026-04-23T05:45:00.000Z;2026-04-23T06:00:00.000Z;2059.98
75;2026-04-23T05:30:00.000Z;2026-04-23T05:45:00.000Z;2252.35
75;2026-04-23T05:15:00.000Z;2026-04-23T05:30:00.000Z;2297.54
75;2026-04-23T05:00:00.000Z;2026-04-23T05:15:00.000Z;2496.13
75;2026-04-23T04:45:00.000Z;2026-04-23T05:00:00.000Z;2725.22
75;2026-04-23T04:30:00.000Z;2026-04-23T04:45:00.000Z;2885.51
75;2026-04-23T04:15:00.000Z;2026-04-23T04:30:00.000Z;3070.5
75;2026-04-23T04:00:00.000Z;2026-04-23T04:15:00.000Z;3349.62
75;2026-04-23T03:45:00.000Z;2026-04-23T04:00:00.000Z;3580.1
75;2026-04-23T03:30:00.000Z;2026-04-23T03:45:00.000Z;3677.42
75;2026-04-23T03:15:00.000Z;2026-04-23T03:30:00.000Z;3603.81
75;2026-04-23T03:00:00.000Z;2026-04-23T03:15:00.000Z;3443.75
75;2026-04-23T02:45:00.000Z;2026-04-23T03:00:00.000Z;3519.91
75;2026-04-23T02:30:00.000Z;2026-04-23T02:45:00.000Z;3489.96
75;2026-04-23T02:15:00.000Z;2026-04-23T02:30:00.000Z;3432.58
75;2026-04-23T02:00:00.000Z;2026-04-23T02:15:00.000Z;3409.23
75;2026-04-23T01:45:00.000Z;2026-04-23T02:00:00.000Z;3332.1
75;2026-04-23T01:30:00.000Z;2026-04-23T01:45:00.000Z;3378.54
75;2026-04-23T01:15:00.000Z;2026-04-23T01:30:00.000Z;3508.26
75;2026-04-23T01:00:00.000Z;2026-04-23T01:15:00.000Z;3497.12
75;2026-04-23T00:45:00.000Z;2026-04-23T01:00:00.000Z;3475.2
75;2026-04-23T00:30:00.000Z;2026-04-23T00:45:00.000Z;3466.24
75;2026-04-23T00:15:00.000Z;2026-04-23T00:30:00.000Z;3475.5
75;2026-04-22T23:45:00.000Z;2026-04-23T00:00:00.000Z;3481.5
75;2026-04-22T23:30:00.000Z;2026-04-22T23:45:00.000Z;3797.38
75;2026-04-22T23:15:00.000Z;2026-04-22T23:30:00.000Z;3770.16
75;2026-04-22T23:00:00.000Z;2026-04-22T23:15:00.000Z;3913.14
75;2026-04-22T22:45:00.000Z;2026-04-22T23:00:00.000Z;3986.44
75;2026-04-22T22:30:00.000Z;2026-04-22T22:45:00.000Z;3906.28
75;2026-04-22T22:15:00.000Z;2026-04-22T22:30:00.000Z;3913.49
75;2026-04-22T22:00:00.000Z;2026-04-22T22:15:00.000Z;4246.72
75;2026-04-22T21:45:00.000Z;2026-04-22T22:00:00.000Z;4215.93
75;2026-04-22T21:30:00.000Z;2026-04-22T21:45:00.000Z;4244.49
75;2026-04-22T21:15:00.000Z;2026-04-22T21:30:00.000Z;4356.5
75;2026-04-22T21:00:00.000Z;2026-04-22T21:15:00.000Z;4573.5
75;2026-04-22T20:45:00.000Z;2026-04-22T21:00:00.000Z;4591.09
75;2026-04-22T20:30:00.000Z;2026-04-22T20:45:00.000Z;5089.6
75;2026-04-22T20:15:00.000Z;2026-04-22T20:30:00.000Z;5062.84
75;2026-04-22T20:00:00.000Z;2026-04-22T20:15:00.000Z;5136.01
75;2026-04-22T19:45:00.000Z;2026-04-22T20:00:00.000Z;5209.29
75;2026-04-22T19:30:00.000Z;2026-04-22T19:45:00.000Z;5222.71
75;2026-04-22T19:15:00.000Z;2026-04-22T19:30:00.000Z;5313.51
75;2026-04-22T19:00:00.000Z;2026-04-22T19:15:00.000Z;5536.04
75;2026-04-22T18:45:00.000Z;2026-04-22T19:00:00.000Z;5634.41
75;2026-04-22T18:30:00.000Z;2026-04-22T18:45:00.000Z;5796.97
75;2026-04-22T18:15:00.000Z;2026-04-22T18:30:00.000Z;5670.99
75;2026-04-22T18:00:00.000Z;2026-04-22T18:15:00.000Z;5737.39
75;2026-04-22T17:45:00.000Z;2026-04-22T18:00:00.000Z;5726.95
75;2026-04-22T17:30:00.000Z;2026-04-22T17:45:00.000Z;5626.72
75;2026-04-22T17:15:00.000Z;2026-04-22T17:30:00.000Z;5734.37
75;2026-04-22T17:00:00.000Z;2026-04-22T17:15:00.000Z;5996.96
75;2026-04-22T16:45:00.000Z;2026-04-22T17:00:00.000Z;6040.09
75;2026-04-22T16:30:00.000Z;2026-04-22T16:45:00.000Z;6019.32
75;2026-04-22T16:15:00.000Z;2026-04-22T16:30:00.000Z;5870.62
75;2026-04-22T16:00:00.000Z;2026-04-22T16:15:00.000Z;5641.03
75;2026-04-22T15:45:00.000Z;2026-04-22T16:00:00.000Z;5653.18
75;2026-04-22T15:30:00.000Z;2026-04-22T15:45:00.000Z;5703.57
